customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,payment_method,num_support_calls,senior_citizen,partner,paperless_billing,churn
CUST00001,29,87.32,2360.1,Month-to-Month,DSL,Yes,Yes,Credit Card,1,0,Yes,Yes,0
CUST00002,18,88.37,1505.4,Two Year,Fiber Optic,Yes,Yes,Mailed Check,4,0,Yes,No,0
CUST00003,17,45.35,666.17,Month-to-Month,No Internet,Yes,No,Mailed Check,1,0,Yes,Yes,0
CUST00004,17,62.9,968.39,One Year,Fiber Optic,No,No,Bank Transfer,1,0,Yes,No,1
CUST00005,56,99.87,5116.79,One Year,Fiber Optic,No,No,Credit Card,3,0,Yes,Yes,0
CUST00006,34,92.37,3263.14,Two Year,No Internet,Yes,Yes,Bank Transfer,2,0,No,Yes,0
CUST00007,14,35.68,452.83,Month-to-Month,Fiber Optic,No,Yes,Bank Transfer,1,0,Yes,No,1
CUST00008,30,78.79,2227.02,One Year,DSL,Yes,No,Bank Transfer,0,0,No,No,0
CUST00009,24,20.54,485.2,Month-to-Month,DSL,No,No,Credit Card,2,1,Yes,Yes,0
CUST00010,3,71.17,188.41,Month-to-Month,Fiber Optic,No,Yes,Credit Card,4,1,Yes,Yes,1
CUST00011,8,117.44,890.0,One Year,Fiber Optic,No,No,Bank Transfer,0,0,No,No,1
CUST00012,25,46.3,1154.85,One Year,DSL,No,Yes,Credit Card,1,0,No,Yes,0
CUST00013,52,49.14,2615.0,One Year,DSL,No,Yes,Bank Transfer,1,0,No,Yes,0
CUST00014,17,89.1,1477.21,Month-to-Month,No Internet,Yes,Yes,Electronic Check,2,0,No,No,1
CUST00015,13,31.43,401.98,Month-to-Month,Fiber Optic,No,Yes,Credit Card,4,0,Yes,Yes,1
CUST00016,22,54.18,1043.27,One Year,No Internet,Yes,No,Mailed Check,2,0,No,Yes,0
CUST00017,12,84.91,1058.82,Month-to-Month,Fiber Optic,No,No,Mailed Check,1,1,Yes,Yes,1
CUST00018,16,54.14,759.27,Month-to-Month,No Internet,Yes,No,Bank Transfer,1,0,No,No,0
CUST00019,20,64.1,1288.33,Two Year,DSL,Yes,No,Electronic Check,0,0,Yes,No,0
CUST00020,8,88.6,640.02,Month-to-Month,Fiber Optic,Yes,No,Credit Card,2,0,Yes,No,1
CUST00021,36,80.54,3005.9,One Year,DSL,Yes,No,Bank Transfer,2,0,No,Yes,0
CUST00022,6,76.67,457.26,Month-to-Month,Fiber Optic,No,No,Electronic Check,1,0,Yes,Yes,1
